2006-05-11,2006-05-12,2006,05,11,2006,05,12,.false.,01
2006-05-12,2006-05-13,2006,05,12,2006,05,13,.true.,02
2006-05-13,2006-05-14,2006,05,13,2006,05,14,.true.,03
2006-05-14,2006-05-15,2006,05,14,2006,05,15,.true.,04
2006-05-15,2006-05-16,2006,05,15,2006,05,16,.true.,05
2006-05-16,2006-05-17,2006,05,16,2006,05,17,.false.,06
2006-05-17,2006-05-18,2006,05,17,2006,05,18,.true.,07
2006-05-18,2006-05-19,2006,05,18,2006,05,19,.true.,08
2006-05-19,2006-05-20,2006,05,19,2006,05,20,.true.,09
2006-05-20,2006-05-21,2006,05,20,2006,05,21,.true.,10
